name#type#born_area#current_area#primaries#sex#candidatesGroup
MARÍA JOSÉ MARTÍNEZ DE LA FUENTE#CANDIDATO#GI#GI#TRUE#MUJER#PP
JOSÉ LUIS ÁLVAREZ-USTARROZ#CANDIDATO#GI#GI#TRUE#HOMBRE#PP
SUSANA PÉREZ QUISLÁN#CANDIDATO#GR#GR#TRUE#MUJER#PP
JAVIER ÚBEDA#CANDIDATO#GR#GR#TRUE#HOMBRE#PP
BEGOÑA GARCÍA MARTÍN#CANDIDATO#GU#GU#TRUE#MUJER#PP
JOSÉ LUIS MARTÍNEZ ALMEIDA#CANDIDATO#GU#GU#TRUE#HOMBRE#PP
CAYETANA ÁLVAREZ DE TOLEDO PERALTA-RAMOS#CANDIDATO#SS#SS#TRUE#MUJER#PP
MANUEL REYES LÓPEZ#CANDIDATO#SS#SS#TRUE#HOMBRE#PP
JUAN BAUTISTA MILLÁN QUEROL#CANDIDATO#H#H#TRUE#HOMBRE#PP
MARÍA DE LOS LLANOS DE LUNA TOBARRA#CANDIDATO#H#H#TRUE#MUJER#PP
ISAAC IVÁN MARTÍN SALVÀ#CANDIDATO#HU#HU#TRUE#HOMBRE#PP
MÓNICA PARES CENTENO#CANDIDATO#HU#HU#TRUE#MUJER#PP
XAVIER CAÑIGUERAL GONZÁLEZ#CANDIDATO#J#J#TRUE#HOMBRE#PP
SILVIA CANGUEIRO MARQUEZ#CANDIDATO#J#J#TRUE#MUJER#PP
ALFREDO BERGUA VALLS#CANDIDATO#LE#LE#TRUE#HOMBRE#PP
INMA FERNÁNDEZ NAVARRO#CANDIDATO#LE#LE#TRUE#MUJER#PP
IGNACIO RIGAU TUSELL#CANDIDATO#L#L#TRUE#HOMBRE#PP
MARTA JIMÉNEZ ARCUSA#CANDIDATO#L#L#TRUE#MUJER#PP
MIGUEL RAPOSO RIESCO#CANDIDATO#LO#LO#TRUE#HOMBRE#PP
MARÍA DEL TURRUCHEL ALCANTUD INAJEROS#CANDIDATO#LO#LO#TRUE#MUJER#PP
JOSEP TUTUSAUS BESANTE #CANDIDATO#LU#LU#TRUE#HOMBRE#PP
EVA PRAT VILA#CANDIDATO#LU#LU#TRUE#MUJER#PP
JOSÉ ANTONIO CALLEJA CLAVERO#CANDIDATO#M#M#TRUE#HOMBRE#PP
MARINA LOZANO ILLESCAS#CANDIDATO#M#M#TRUE#MUJER#PP
JAVIER BARREÑA FLORES#CANDIDATO#MA#MA#TRUE#HOMBRE#PP
EVA GARCÍA RODRÍGUEZ#CANDIDATO#MA#MA#TRUE#MUJER#PP
MARÍA EUGENIA URGELLES GIL DE SOLA#CANDIDATO#MU#MU#TRUE#HOMBRE#PP
ISABEL SOLER GARCÍA#CANDIDATO#MU#MU#TRUE#MUJER#PP
FRANCESC GUILLEM MOLINS#CANDIDATO#NA#NA#TRUE#HOMBRE#PP
ELISABET MARTÍNEZ GARCÍA#CANDIDATO#NA#NA#TRUE#MUJER#PP
MANUEL LÓPEZ LÓPEZ#CANDIDATO#OR#OR#TRUE#HOMBRE#PP
MARÍA JOSÉ AGUILAR CABALLERO#CANDIDATO#OR#OR#TRUE#MUJER#PP
MANUEL CONDE GARCÍA#CANDIDATO#O#O#TRUE#HOMBRE#PP
LYDIA REMON AGUIRRE#CANDIDATO#O#O#TRUE#MUJER#PP
JOSEP LLOBET NAVARRO#CANDIDATO#P#P#TRUE#HOMBRE#PP
JOSÉ VARGAS RINCÓN#CANDIDATO#P#P#TRUE#HOMBRE#PP
Mª CONCEPCIÓN AYARZA TOVAR#CANDIDATO#GC#GC#TRUE#MUJER#PP
JOSEP BOU VILA#CANDIDATO#GC#GC#TRUE#HOMBRE#PP
MIGUEL TORRUBIANO BLANCO#CANDIDATO#PO#PO#TRUE#HOMBRE#PP
KELI CASEIRO VÁZQUEZ#CANDIDATO#PO#PO#TRUE#MUJER#PP
CÉSAR ALCALÁ GIMÉNEZ#CANDIDATO#SA#SA#TRUE#HOMBRE#PP
CRISTINA PÉREZ PORCET#CANDIDATO#SA#SA#TRUE#MUJER#PP
ÁLVARO HERNÁNDEZ TOMÁS#CANDIDATO#TF#TF#TRUE#HOMBRE#PP
MARÍA DE LAS MERCEDES SANTIAGO DIE#CANDIDATO#TF#TF#TRUE#MUJER#PP
JAUME COLL SANTA CECILIA#CANDIDATO#S#S#TRUE#HOMBRE#PP
MARÍA LUISA IBÁÑEZ BOIRA#CANDIDATO#S#S#TRUE#MUJER#PP
MARCO ANTONIO FERNÁNDEZ DOMÍNGUEZ#CANDIDATO#SG#SG#TRUE#HOMBRE#PP
MARÍA SACRAMENTO LÓPEZ RUIZ#CANDIDATO#SG#SG#TRUE#MUJER#PP
JOAN ANTONI LÓPEZ NOGUERA#CANDIDATO#SE#SE#TRUE#MUJER#PP
ALEJANDRO MUÑOZ MARTOS#CANDIDATO#SE#SE#TRUE#HOMBRE#PP
MACARENA MONTESINOS DE MIGUEL#CANDIDATO#SO#SO#TRUE#MUJER#PP
CESAR SÁNCHEZ PÉREZ#CANDIDATO#SO#SO#TRUE#HOMBRE#PP
MARÍA DE LOS ÁNGELES QUILES MONDÉJAR#CANDIDATO#T#T#TRUE#MUJER#PP
AGUSTÍN ALMODÓBAR BARCELÓ#CANDIDATO#T#T#TRUE#HOMBRE#PP
MARÍA EDELMIRA FERRI HERNÁNDEZ#CANDIDATO#TE#TE#TRUE#MUJER#PP
SERGIO RODRÍGUEZ MESEGUER#CANDIDATO#TE#TE#TRUE#HOMBRE#PP
GEMA FERRÁNDEZ BERENGUER#CANDIDATO#TO#TO#TRUE#MUJER#PP
ARTURO POQUET RIBES#CANDIDATO#TO#TO#TRUE#HOMBRE#PP
MARÍA GARCÍA PASCUAL#CANDIDATO#V#V#TRUE#MUJER#PP
JOSÉ MANUEL PARDO MARTÍNEZ#CANDIDATO#V#V#TRUE#HOMBRE#PP
MARÍA MERCEDES TORREGROSA ORTS#CANDIDATO#VA#VA#TRUE#MUJER#PP
RAFAEL ALMAGRO PALACIOS#CANDIDATO#VA#VA#TRUE#HOMBRE#PP
LINO ANTONIO PASCUAL CARBONELL#CANDIDATO#BI#BI#TRUE#HOMBRE#PP
MANUELA MORA PASCUAL#CANDIDATO#BI#BI#TRUE#MUJER#PP
JOSÉ RUBIO QUEREDA#CANDIDATO#ZA#ZA#TRUE#HOMBRE#PP
ALMUDENA RICO LULL#CANDIDATO#ZA#ZA#TRUE#MUJER#PP
PABLO RUZ VILLANUEVA#CANDIDATO#Z#Z#TRUE#HOMBRE#PP
MARÍA ADELAIDA PEDROSA ROLDÁN#CANDIDATO#Z#Z#TRUE#MUJER#PP
ANDRÉS FRANCISCO SÁEZ RAMÓN#CANDIDATO#CE#CE#TRUE#HOMBRE#PP
ROSA VICENTA CARDONA VIVES#CANDIDATO#CE#CE#TRUE#MUJER#PP
MIGUEL GASCÓN BENZAL#CANDIDATO#ML#ML#TRUE#HOMBRE#PP
XENIA TORRES ROMERO#CANDIDATO#ML#ML#TRUE#MUJER#PP
